prediction,groundtruth,reward,policy_loss,value_loss
mark mark bar data team_name encoding x acc_road y aggregate sum acc_road transform group x,mark bar data basketball_match encoding x acc_road y aggregate sum school_id transform group x sort y desc,0.34375,0.0044067707,0.19097722
mark data bar_catalog_entry_id encoding x y transform group x asc sort x asc,mark bar data catalog_contents encoding x catalog_entry_name y aggregate none capacity transform filter price_in_dollars > 700 sort x asc,0.2,-0.0032923836,-0.22537905
mark mark data location encoding x location y aggregate count location,mark arc data document_locations encoding x location_code y aggregate count location_code transform group x,0.2692307692307692,-0.0063886717,-0.3523046
mark mark bar data employee_data encoding x is_full_time y aggregate mean employee_id transform group x sort y desc,mark bar data hiring encoding x is_full_time y aggregate mean employee_id transform group x,0.375,0.01352779,0.053092152
"mark data swimming_results;
transform group name nationality id sort nationality desc;
mark bar data swimming_results encoding x nationality y aggregate sum meter_100 transform group name n nationality x sort x desc y aggregate sum meter_100 .",mark bar data swimmer encoding x time y aggregate none meter_100,0.16666666666666666,0.0033932314,-0.084575385
"mark data team;
transform group team_id;
mark bar data team encoding x team_id y none team_id aggregate percent acc_home",mark bar data basketball_match encoding x all_home y aggregate none team_id color acc_home transform group x sort x asc,0.2619047619047619,-0.004998157,0.05209458
"mark data people;
mark bar data weight y sort x desc ;",mark bar data people encoding x date_of_birth y aggregate none weight transform sort y desc,0.25,-0.011855389,0.015471935
mark roomdata enc room_number x y aggregate count room_number transform group room_number y aggregate count room_number transform room_number y aggregate count room_number transform room_number y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count room_number transform x y aggregate count,mark bar data classroom encoding x building y aggregate count building transform filter capacity > 50 group x,0.18421052631578946,0.02115202,-0.09341988
mark data products transform x name y aggregate bar none y price x sort x asc y desc,mark bar data products encoding x name y aggregate none price transform filter price between 60 and 120 sort y asc,0.325,-0.021036046,0.12361902
mark data bar dept_name x y aggregate mean salary y transform sort y asc,mark bar data instructor encoding x dept_name y aggregate mean salary transform group x sort y asc,0.4,0.014319844,-0.12511194
